#Language,ENGLISH
#Location,en
#Image,en
#Venereal_Disease_Resistance,STD Resistance
#BirthCount,Birth Count
#Postpartum_Time,Break Time After Birth
#Sex_Time,Sex Time
#ValueToDecreaseMentality,Slave's Health Loss / Sex (s)
#Growth_Time,Baby Growth Time
#Soul,Soul
#BreastMilk,Breast Milk
#MultipleFetuses,Max Concurrent Fetuses

#Tits_Type,Tits Size
#Body_Type,Body Size
#MonsterBodyType,Body Type
#Eye_Color_Type,Eye Color
#Hair_Color_Type,Hair Color
#SkinColorType,Skin Color
#FirstSexPartner,First Partner
#FirstSexPartnerRace,Tattooed By 
#Sex_Count,Sex Experiences
#SexPartnerCount,Unique Partners
#Charm_Type,Charm
#Creampie,Creampie Count
#FirstPartner,First Creampie

#SkinCondition,Skin Condition
#BodyCondition,Body Condition
#PenisType,Penis Size
#BallsType,Ball Size

#Price,Price

#SecondFormat,{0:0}s
#Percent,{0:0}%
#Small,Small
#Medium,Medium
#Large,Large
#Thick,Thick
#Thin,Thin
#Nobody,Nobody
#Unknown,Unknown
#FamilyTreeFarther,Father: {0}
#FamilyTreeMother,Mother: {0}
#Baby,Baby
#Adult,Adult
#Child,Loli

#Amilia,Amilia
#Flora,Flora
#Niel,Noel
#SenaLena,Sena & Lena
#Locked,Locked

#Sylvia,Sylvia
#SylviaPartner,Kenneth
#SylviaFamilyTree,Father: Unknown<BR>Mother: Unknown
#Claire,Claire
#ClaireFamilyTree,Father: Unknown<BR>Mother: Unknown
#Aure,Suki
#AureFamilyTree,Father: Gimli<BR>Mother: Unknown
#Karen,Karen
#KarenFamilyTree,Father: Unknown<BR>Mother: Unknown
#Vivi,Serena
#Bella,Chris

#Tab_Status,Status
#Tab_Trait,Trait
#Tab_MarketRate,Market Prices
#Tab_Buyer,Buyer

#BuyerRate,Selling price<BR>+{0}%

#Color,Color
#Color_Random,Random
#Color_Brown,Brown
#Color_Yellow,Yellow
#Color_Black,Black
#Color_White,White
#Color_Beige,Beige
#Color_Gold,Gold
#Color_Green,Green
#Color_Lime,Lime
#Color_Orange,Orange
#Color_Gray,Gray
#Color_DarkGold,Dark Gold
#Color_SandyBrown,Sandy Brown
#Color_Blue,Blue
#Color_Red,Red
#Color_Aqua,Aqua
#Color_LightGreen,Light Green
#Color_Cyan,Cyan
#Color_Purple,Purple
#Color_Pink,Pink

#Appearance_SkinCondition,Skin Condition
#Appearance_Body,Body
#Appearance_SkinColor,Skin Color
#Appearance_ScaleColor,Scale Color
#Appearance_HairColor,Hair Color
#Appearance_EyeColor,Eye Color
#Appearance_ChestHair,Chest Hair
#Appearance_ArmHair,Arm Hair
#Appearance_LegHair,Leg Hair
#Appearance_PubicHair,Pubic Hair
#Appearance_Hair,Hair
#Appearance_Penis,Penis
#Appearance_Ball,Balls
#Appearance_Ear,Ear
#Appearance_EarHair,Ear Hair
#Appearance_Nose,Nose
#Appearance_Horn,Horn
#Appearance_HornColor,Horn Color
#Appearance_Beard,Beard
#Appearance_Tooth,Teeth
#Appearance_Figure,Figure
#Appearance_Tail,Tail

#Appearance_Tits,Tits
#Appearance_EyeBall,Iris
#Appearance_Eye,Eye Shape
#Appearance_HairFront,Hair Front
#Appearance_HairSide,Hair Side
#Appearance_HairBack,Hair Back

#RaceHumanText,Human
#RaceElfText,Elf
#RaceDwarfText,Dwarf
#RaceNekoText,Cat
#RaceInuText,Fox
#RaceUsagiText,Rabbit
#RaceHitsujiText,Sheep
#RaceDragonianText,Dragonian
#RaceSuccubusText,Succubus
#RaceGoblinText,Goblin
#RaceOrcText,Orc
#RaceWerewolfText,Werewolf
#RaceHorseText,Horse
#RaceMinotaurText,Minotaur

#Test_Toggle,TEST<BR>TOGGLE
#Test_Resources,Resources
#Test_ReputationUp,Repute +10
#Test_ReputationDown,Repute -10
#Test_RaceTrait1,Race<BR>Trait 1
#Test_RaceTrait2,Race<BR>Trait 2
#Test_Trait1,Trait 1
#Test_Trait2,Trait 2
#Test_Trait3,Trait 3
#Test_Trait4,Trait 4

#Milk,Milk
#LoliMilk,Loli Milk
#HumanMilk,Human Milk
#ElfMilk,Elf Milk
#DwarfMilk,Dwarf Milk
#FurryMilk,Furry Milk
#SmallFurryMilk,Small Furry Milk
#DragonianMilk,Dragonian Milk

#Item0100100,Bodily Fluids
#Item0100100Text,A common by-product of all races.
#Item0100200,Disease DNA
#Item0100200Text,A by-product that can only be obtained if you have an STD.

#Item0200600,Human Pheromone
#Item0200600Text,The Human race's characteristically strong pheromones.
#Item0200800,Elf Mana Engine
#Item0200800Text,The source of the powerful magical abilities and mana generation of the Elven race.
#Item0201000,Dwarf Heart
#Item0201000Text,The source of the powerful physical abilities and regenerative power of the Dwarven race.
#Item0201100,Fox Furry Mammary Gland DNA
#Item0201100Text,DNA that promotes lactation in Fox Furries.
#Item0201200,Cat Furry Ovarian DNA
#Item0201200Text,DNA that promotes egg ovulation in Cat Furries.
#Item0201300,Rabbit Furry Womb DNA
#Item0201300Text,DNA extracted from an Rabbit Furry's womb.
#Item0201400,Sheep Furry Horn
#Item0201400Text,Used as an ingredient in expensive medicines.
#Item0201500,Dragon Tail Meat
#Item0201500Text,A high-quality ingredient. Traded at a very high price.

#Item0301900,Goblin Semen
#Item0301900Text,Has the effect of making females go into heat, regardless of race.
#Item0302200,Orc Heart
#Item0302200Text,The source of Orcish regenerative power and good blood circulation.
#Item0302400,Werewolf Tail
#Item0302400Text,Soft and fluffy, it is the highest quality of fur.
#Item0302500,Minotaur Leather
#Item0302500Text,A top quality material that's very tough and durable. Traded at a very high price.

#Item0400500,Tattoo Removal
#Item0400500Text,Instantly removes an Elf's tattoo.
#Item0400600,Health Recovery
#Item0400600Text,Instantly recovers a slave's Health.
#Item0400900,Mammary Injection
#Item0400900Text,Instantly fills a slave's Milk.
#Item0401000,Disease Cure
#Item0401000Text,Instantly cures a slave or monster's STD.
#Item0401010,Ovum Recovery
#Item0401010Text,Resets a slave's current Birth Count to 0.

#Item107Name,Gold
#Item107Text,Gold
#Item111Name,Achievement Point
#Item111Text,Achievement Point
#Item112Name,Human DNA
#Item112Text,Human's DNA that can be obtained rarely, used for forbidden alchemy.
#Item113Name,Elf DNA
#Item113Text,Elf's DNA that can be obtained rarely, used for forbidden alchemy.
#Item114Name,Dwarf DNA
#Item114Text,Dwarf's DNA that can be obtained rarely, used for forbidden alchemy.
#Item115Name,Cat DNA
#Item115Text,Cat's DNA that can be obtained rarely, used for forbidden alchemy.
#Item116Name,Fox DNA
#Item116Text,Fox's DNA that can be obtained rarely, used for forbidden alchemy.
#Item117Name,Rabbit DNA
#Item117Text,Rabbit's DNA that can be obtained rarely, used for forbidden alchemy.
#Item118Name,Sheep DNA
#Item118Text,Sheep's DNA that can be obtained rarely, used for forbidden alchemy.
#Item119Name,Dragonian DNA
#Item119Text,Dragonian's DNA that can be obtained rarely, used for forbidden alchemy.
#Item120Name,Goblin DNA
#Item120Text,Goblin's DNA that can be obtained rarely, used for forbidden alchemy.
#Item121Name,Orc DNA
#Item121Text,Orc's DNA that can be obtained rarely, used for forbidden alchemy.
#Item122Name,Werewolf DNA
#Item122Text,Werewolf's DNA that can be obtained rarely, used for forbidden alchemy.
#Item123Name,Minotaur DNA
#Item123Text,Minotaur's DNA that can be obtained rarely, used for forbidden alchemy.
#Item124Name,Salamander DNA
#Item124Text,Salamander's DNA that can be obtained rarely, used for forbidden alchemy.
#Item125Name,Origin DNA
#Item125Text,Origin DNA that can be obtained with a low probability, used to make all slaves and monsters.

#Item126Name,Fertility Medication
#Item126Text,Ensures impregnation the next time you cum inside.
#Item127Name,Aphrodisiac
#Item127Text,Guaranteed to cum inside during sex for 1 day after use.
#Item128Name,Vi○gra
#Item128Text,Don't rest after sex for 1 day after use.
#Item129Name,Sensitivity 3000x
#Item129Text,Increases brothel speed and payment by ×1.5 for half a day.<BR>(Used automatically on production)
#Item130Name,Washer
#Item130Text,All semen in the field is washed away.<BR>(Used automatically on production.)
#Item131Name,Salamander Scale Piece
#Item131Text,A scale that contains fire energy. Traded as a very expensive magic material.
#Item132Name,Condom
#Item132Text,Condom
#Item133Name,LoveGel
#Item133Text,LoveGel
#Item134Name,Cosmetic Potion
#Item134Text,Cosmetic Potion
#Item135Name,Monster Cosmetic Potion
#Item135Text,Randomly changes the appearance of a monster.
#Item136Name,Slave Cosmetic Potion
#Item136Text,Randomly changes the appearance of a slave.
#Item137Name,Trait Upgrade Potion
#Item137Text,Upgrades a random trait.

#NielBookButton,Illustrated book
#NielBookLabel,Illustrated book
#NielActionButton,Produce
#GetButton,Get

#Trait_0101000100,Attractive to All
#Trait_0101000100_Tooltip,Adds up to 2-3 times the brothel usage amount.
#Trait_0101100000,Weak Race
#Trait_0101100000_Tooltip,Breeding drained, increases health loss by 1.5.
#Trait_0102000000,Heat
#Trait_0102000000_Tooltip,When the tattoo is engraved, the elf's lust rises and she goes into heat.<br>Increases conception chance by 30% for the tattooed girl.
#Trait_0102100200,Dwarf Bastards
#Trait_0102100200_Tooltip,Elves hate dwarves, and don't want to be together.<br>HP recovery speed reduced by 50%.
#Trait_0103000000,Warrior's Soul
#Trait_0103000000_Tooltip,The Warrior's soul has blessed the Dwarves.<br>There is a chance to not consume HP during sex.
#Trait_0103100200,Elf Bastards
#Trait_0103100200_Tooltip,Dwarves hate elves, and don't want to be together.<br>HP recovery speed reduced by 50%.
#Trait_0105000000,Extra Baby
#Trait_0105000000_Tooltip,There's a chance to conceive additional fetus.
#Trait_0105100000,Hyperactivity
#Trait_0105100000_Tooltip,Sex may be interrupted due to the excessive movements.
#Trait_0106000000,More Milk
#Trait_0106000000_Tooltip,Foxes are optimized for breastfeeding.<BR>After taking all the breast milk, there's a chance to refill their milk to max.
#Trait_0106100000,Gluttony
#Trait_0106100000_Tooltip,When supplying daily food, there is a chance to request one more. Only activates once per day.
#Trait_0107000000,Superfetation
#Trait_0107000000_Tooltip,Rabbits have two wombs.<BR>During pregnancy, an additional baby is possible with a certain probability during cumshots.<BR>Fetuses +1.
#Trait_0107100000,Bulimia
#Trait_0107100000_Tooltip,There is a chance to double the food requirement when supplying daily food.
#Trait_0108000000,Relaxed Attitude
#Trait_0108000000_Tooltip,Sheeps are laid back.<BR>When not drained and resting, HP recovery speed increases by 1.5.
#Trait_0108100000,Coward
#Trait_0108100000_Tooltip,Sheeps are cowardly.<BR>If there is a Fox or a Monster in the same room, HP decreases by 1 per second.
#Trait_0109000000,Strong Genes
#Trait_0109000000_Tooltip,Dragonians take only good genes.<BR>Only + common traits can be inherited.
#Trait_0109100100,Gene Selection
#Trait_0109100100_Tooltip,Dragonians reject bad genes.<BR>If the monster has two or more - & 0 traits, breeding is refused.

#Trait_0101200000,Brothel's Number One
#Trait_0101200000_Tooltip,Show off her skills as the best stripper in the brothel.<BR>When placed in a brothel, its usage amount is increased by 5 to 10 times.
#Trait_0102200000,Iron Will
#Trait_0102200000_Tooltip,Represents her strong will.<BR>Halves HP consumption.
#Trait_0103200000,Steel Uterus
#Trait_0103200000_Tooltip,Reflects her duty as a tribal princess to bear many children.<BR>If the maximum number of births is filled, the current number of births becomes 0. (One time only).
#Trait_0104200000,Robbery
#Trait_0104200000_Tooltip,Thieves loot anything, including their opponent's sperm.<BR>Restarts sex immediately when pregnancy fails.
#Trait_0107200000,Gambler's Bad Luck
#Trait_0107200000_Tooltip,She's so addicted to gambling that she even bets whether she is pregnant or not.<BR>She always makes that bet only when she's pregnant, but her bad luck goes beyond limits,<BR>When she's pregnant she necessarily gets extra pregnant when she creampied (Fetuses +1).
#Trait_0109200000,Genetic Engineering
#Trait_0109200000_Tooltip,A master of genetic engineering, she can manipulate genes with her mana.<BR>One of the common traits of the fetus is upgraded by one level.

#Trait_0201000000,Humiliation
#Trait_0201000000_Tooltip,When they prematurely cum outside, there is a chance to immediately start sex again.
#Trait_0201100100,Sadism
#Trait_0201100100_Tooltip,Breeding drained slaves increases HP consumption by 1.5.
#Trait_0202000100,Over Excitement
#Trait_0202000100_Tooltip,Climax is accelerated because of so much excitement, intercourse time is reduced by 50%.
#Trait_0202100000,Semen Tank
#Trait_0202100000_Tooltip,When breeding, HP consumption increases by 1.5.
#Trait_0203000000,Grooming
#Trait_0203000000_Tooltip,Werewolves gently lick their mates.<BR>When not breeding with a slave, HP is recovered by 1 per second.
#Trait_0203100000,Violent Copulation
#Trait_0203100000_Tooltip,Werewolves over-excited during mating have a chance to deal half the target slave's HP as damage.
#Trait_0204000100,Give Birth! God's Child
#Trait_0204000100_Tooltip,In the past, Minotaurs were worshiped as gods. When a slave is impregnated by a Minotaur, there is a low chance that one negative trait will become a positive one.
#Trait_0204100100,Miscarriage
#Trait_0204100100_Tooltip,The Minotaur's cock is difficult for a slave to accept. Breeding while a slave is pregnant leads to a low chance of miscarriage.

#Trait_93_Name,Conception Chance {0}%
#Trait_93_Text,Conception Chance {0}%
#Trait_94_Name,Growth Time {0}s
#Trait_94_Text,Baby Growth Time {0}s
#Trait_95_Name,Maintenance Cost {0}
#Trait_95_Text,Daily Maintenance Cost {0}
#Trait_96_Name,Max Health {0}
#Trait_96_Text,Max Health {0}
#Trait_97_Name,Maximum Births {0}
#Trait_97_Text,Maximum Births {0}
#Trait_98_Name,Multiple Pregnancy {0}
#Trait_98_Text,Number of fetuses that can be conceived at once {0}
#Trait_99_Name,Breeding Time {0}s
#Trait_99_Text,Breeding Time {0}s
#Trait_100_Name,Slave's health consumption during breeding {0}
#Trait_100_Text,Slave's health consumption during breeding {0}
#Trait_101_Name,Prejudice
#Trait_101_Text,Contrary to popular belief, Salamanders do not touch weak opponents.<BR>Has a chance to refuse breeding with drained slaves.
#Trait_102_Name,Pride
#Trait_102_Text,Salamanders are very intelligent and have picky tastes.<BR> Will refuse to breed with the same slave more than 5 times.

#RaceTraitTitle,Racial Trait
#TraitTitle,Trait

#Difficulty,SELECT DIFFICULTY
#Difficulty0,EASY
#Difficulty1,NORMAL
#Difficulty2,HARD
#Difficulty3,MASTER

#Resource,Resource
#Facility,Facility
#Ground,Surface
#Underground,Underground

#UpgradeTab0,Slave
#UpgradeTab1,Monster
#UpgradeTab2,Resources
#UpgradeTab3,Facility
#UpgradeTab4,Ground
#UpgradeTab5,Underground

#UpgradeMarketSlotSlave1,Add Market Slave Slot
#UpgradeMarketSlotSlave2,Add Market Slave Slot
#UpgradeMarketElf,Unlock Elf Slaves 
#UpgradeMarketDwarf,Unlock Dwarf Slaves
#UpgradeMarketFurry,Unlock Furry Slaves
#UpgradeMarketSmallFurry,Unlock Small Furry Slaves 
#UpgradeMarketDragonian,Unlock Dragonian Slaves
#UpgradeMarketSlotMonster1,Add Market Monster Slot
#UpgradeMarketSlotMonster2,Add Market Monster Slot
#UpgradeMarketOrc,Unlock Orc Monsters
#UpgradeMarketWerewolf,Unlock Werewolf Monsters
#UpgradeMarketMinotaur,Unlock Minotaur Monsters

#UpgradeMaxFood1,Racial By-Product Rate Up
#UpgradeMaxFood2,Racial By-Product Rate Up
#UpgradeMaxFood3,Racial By-Product Rate Up
#UpgradeMaxMana1,DNA Acquisition Rate Up
#UpgradeMaxMana2,DNA Acquisition Rate Up
#UpgradeMaxMana3,DNA Acquisition Rate Up
#UpgradeAmilia1,Pixie Requirement -5
#UpgradeAmilia2,Pixie Requirement -5
#UpgradeAmilia3,Pixie Requirement -5

#UpgradeReducedSlaveMakingTime1,Slave Time Down
#UpgradeReducedSlaveMakingTime2,Slave Time Down
#UpgradeReducedMonsterMakingTime1,Monster Time Down
#UpgradeReducedMonsterMakingTime2,Monster Time Down
#UpgradeReducedBigMonsterMakingTime1,Large Monster Time Down
#UpgradeReducedBigMonsterMakingTime2,Large Monster Time Down
#UpgradeReducedBigMonsterMakingTime3,Large Monster Time Down
#UpgradeSpecialItemsCanBeCrafted,Special Items Can Be Created

#UpgradeIncreaseCountOfItem1,Increase Max Condom & LoveGel Stock
#UpgradeIncreaseCountOfItem2,Increase Max Condom & LoveGel Stock
#UpgradeIncreaseCountOfItem3,Increase Max Condom & LoveGel Stock
#UpgradeDecreasePriceOfItem1,Discount Condom & LoveGel
#UpgradeDecreasePriceOfItem2,Discount Condom & LoveGel
#UpgradeDecreasePriceOfItem3,Discount Condom & LoveGel
#UpgradeIncreaseCountOfPill1,Increase Max Cosmetic Potion Stock
#UpgradeIncreaseCountOfPill2,Increase Max Cosmetic Potion Stock
#UpgradeDecreasePriceOfPill1,Discount Cosmetic Potion
#UpgradeDecreasePriceOfPill2,Discount Cosmetic Potion
#UpgradeDecreasePriceOfPill3,Discount Cosmetic Potion

#NielBookTab1,Consumable
#NielBookTab2,Cash Item

#LabelAchievement,Achievements
#Achievement,Achievements
#AchievementTab0,STD
#AchievementTab1,Slave
#AchievementTab2,Monster
#AchievementTab3,Play
#AchievementTab4,Facility
#AchievementTab5,Dismantling
#AchievementTab6,Laboratory
#AchievementTab7,Guidance
#AchievementTab8,Market
#PointLabel,Achievement pt.
#PointText,{0} Point

#A000001Text,<color=#0055FF>{0}</color>/{1} Birth Count
#A000002Text,<color=#0055FF>{0}</color>/{1} Pregnancy Count
#A000003Text,<color=#0055FF>{0}</color>/{1} Creampie Count
#A000004Text,<color=#0055FF>{0}</color>/{1} Pull Out Count
#A000005Text,<color=#0055FF>{0}</color>/{1} Slave Count
#A000006Text,<color=#0055FF>{0}</color>/{1} Monster Count
#A000007Text,<color=#0055FF>{0}</color>/{1} STD Count
#A000008Text,<color=#0055FF>{0}</color>/{1} STD Cure Count
#A000009Text,<color=#0055FF>{0}</color>/{1} Death Count
